PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:77162. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-77162,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:77162,77162,,Adelomyia melanogenys,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Adelomyia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,,melanogenys,,species,,,Speckled Hummingbird,ICZN,,,,,,,1,male,unknown,,,,present,wing | tissue,,,,,,,"Molt: none on wing or tail, light on body; irides dark brown, bill black, tarsi and toes black; Stomach (saved): insect parts",,,,,,,,,,,4/14/2002,,104,104,2002,4,14,14-Apr-02,,,,,,Bolivia | Departamento de Cochabamba | Provincia Chaparé |  |  | BOLIVIA: Departamento de Cochabamba; Provincia Chaparé; San Onofre; 43 km west of Villa Tunari; 17°9'S 65°47'W; 1500 m; humid montane forest,,,1500 m,,,,,,,,,,,,,,17 9  S,6547  W,,,,,,,,,,"georefed original lat/long, not the english decription of the locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:77153. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-77153,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:77153,77153,,Aglaiocercus kingi,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Aglaiocercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,,kingi,,species,,,Long-tailed Sylph,ICZN,,,,,,,1,male,unknown,,,,present,wing | tissue,,,,,,,"Molt: none on wing or tail, light on body; iris dark brown, bill, tarsi, and toes black; Stomach (saved): insects",,,,,,,,,,,4/13/2002,,103,103,2002,4,13,13-Apr-02,,,,,,Bolivia | Departamento de Cochabamba | Provincia Chaparé |  |  | BOLIVIA: Departamento de Cochabamba; Provincia Chaparé; San Onofre; 43 km west of Villa Tunari; 17°9'S 65°47'W; 1500 m; humid montane forest,,,1500 m,,,,,,,,,,,,,,17 9  S,6547  W,,,,,,,,,,"georefed original lat/long, not the english decription of the locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,V. G. Rohwer,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82442. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82442,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82442,82442,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,female,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: left P1-P8=new; P9=.8, P10=old, none on body; Misc: wingspan 137 mm; iris very dark brown, tarsi black, maxilla black, mandible red at base black at tip",,,,,,,,,,,7/28/2006,,209,209,2006,7,28,28-Jul-06,,,,,,"Mexico | Sinaloa | Municipio Choix |  |  | MEXICO: Sinaloa; Municipio Choix; Choix, 17 km NE; La Mesa; 26°49.2'N 108°12'W; 1325 m; pine oak woodland, heavily disturbed, no understory",,,1325 m,,,,,,,,26.82,-108.2,WGS84,2809,,,26492 N,10812  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,female,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,M. F. Ortiz-Ramírez,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82488. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82488,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82488,82488,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,male,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none in wings, tail or body; irides dark brown, mandible red and black, maxilla black, tarsi and toes black; Stomach: insects (gnats?)",,,,,,,,,,,7/28/2006,,209,209,2006,7,28,28-Jul-06,,,,,,"Mexico | Sinaloa | Municipio Choix |  |  | MEXICO: Sinaloa; Municipio Choix; Choix, 17 km NE; La Mesa; 26°49.2'N 108°12'W; 1325 m; pine and oak woodland with sycamore, heavily disturbed, no understory",,,1325 m,,,,,,,,26.82,-108.2,WGS84,2809,,,26492 N,10812  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,R. C. Faucett,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82751. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82751,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82751,82751,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,female,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none; Misc: wingspan 138 mm; in net 2 at 1 pm; iris dark brown, bill black, toes and tarsi black; Stomach: empty",,,,,,,,,,,7/27/2006,,208,208,2006,7,27,27-Jul-06,,,,,,"Mexico | Sinaloa | Municipio Choix |  |  | MEXICO: Sinaloa; Municipio Choix; Choix, 17 km NE; La Mesa; 26°49.2'N 108°12'W; 1325 m; disturbed pine oak woodland with grazed undergrowth",,,1325 m,,,,,,,,26.82,-108.2,WGS84,2809,,,26492 N,10812  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,female,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,V. G. Rohwer,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82888. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82888,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82888,82888,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,female,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none in wing, tail or body; Misc: wingspan 139 mm; irides dark brown, maxilla black, mandible red, tip black; Stomach: gnats",,,,,,,,,,,5/12/2006,,132,132,2006,5,12,12-May-06,,,,,,"Mexico | Guerrero | Municipio de Chilpancingo |  |  | MEXICO: Guerrero; Municipio de Chilpancingo; Chilpancingo, 12 mi W; Xocomanatlan; 17°34'N 99°38'W; 1800 m; riparian oak in thin pine forest",,,1800 m,,,,,,,,17.57,-99.64,WGS84,2854,,,1734  N,9938  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,female,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,R. C. Faucett,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:81143. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-81143,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:81143,81143,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,male,unknown,,,,present,skel/wing | tissue,,,,,,,"Molt: right R4=.8 (sheathed) several missing; none in wing; Misc: lat/long map datum WGS 84; irides dark brown, maxilla black, mandible pink horn, tip black, tarsi and toes black; Stomach: insect (small)",,,,,,,,,,,7/22/2005,,203,203,2005,7,22,22-Jul-05,,,,,,"Mexico | Sinaloa | Municipio Cosala |  |  | MEXICO: Sinaloa; Municipio Cosala; Cosala, 11 km W; Las Mimbres; 24°18.2'N 106°45.8'W; 275 m",,,275 m,,,,,,,,24.304,-106.764,WGS84,1470,,,24182 N,106458 W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82492. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82492,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82492,82492,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,female,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none in wings or tail; Misc: wingspan 137 mm; irides dark brown, maxilla black, mandible reddish, tarsi and toes black; Stomach: small insects (gnats)",,,,,,,,,,,7/29/2006,,210,210,2006,7,29,29-Jul-06,,,,,,"Mexico | Sinaloa | Municipio Choix |  |  | MEXICO: Sinaloa; Municipio Choix; Choix, 17 km NE; La Mesa; 26°49.2'N 108°12'W; 1325 m; pine/oak woodland, heavily disturbed, no understory",,,1325 m,,,,,,,,26.82,-108.2,WGS84,2809,,,26492 N,10812  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,female,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,R. C. Faucett,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82757. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82757,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82757,82757,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,male,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none; Misc: wingspan 144 mm; in net 1 at 9:15 am; iris dark brown, toes and tarsi black, maxilla black, mandible very dark red, almost black; Stomach: empty",,,,,,,,,,,7/28/2006,,209,209,2006,7,28,28-Jul-06,,,,,,"Mexico | Sinaloa | Municipio Choix |  |  | MEXICO: Sinaloa; Municipio Choix; Choix, 17 km NE; La Mesa; 26°49.2'N 108°12'W; 1325 m; disturbed pine oak woodland with grazed undergrowth",,,1325 m,,,,,,,,26.82,-108.2,WGS84,2809,,,26492 N,10812  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,V. G. Rohwer,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
PhysicalObject,2/23/2015,CC0,,http://vertnet.org/resources/norms.html,University of Washington Burke Museum. UWBM Ornithology Collection. Record ID: urn:catalog:UWBM:Bird:82885. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),http://portal.vertnet.org/o/uwbm/bird?id=urn-catalog-uwbm-bird-82885,urn:lsid:biocol.org:col:34878,urn:lsid:biocol.org:col:34966,,UWBM,Bird,,PreservedSpecimen,,,,urn:catalog:UWBM:Bird:82885,82885,,Amazilia beryllina,,,,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,,Berylline Hummingbird,ICZN,,,,,,,1,male,unknown,,,,present,round/wing | tissue,,,,,,,"Molt: none in wings, tail or body; Misc: wingspan 142 mm; irides dark brown, bill black, mandible reddish basally, tarsi and toes black; Stomach: gnats",,,,,,,,,,,5/12/2006,,132,132,2006,5,12,12-May-06,,,,,,"Mexico | Guerrero | Municipio de Chilpancingo |  |  | MEXICO: Guerrero; Municipio de Chilpancingo; Chilpancingo, 12 mi W; Xocomanatlan; 17°34'N 99°38'W; 1800 m; riparian oak in thin pine forest",,,1800 m,,,,,,,,17.57,-99.64,WGS84,2854,,,1734  N,9938  W,,,,,,,VertNet Georeferencing Guidelines,,requires verification,georeferenced verbatim Lat/Long not the english text description; added 1000 meters to the coordinate uncertainty because original datum unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,male,,University of Washington Burke Museum. UWBM Ornithology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uwbm_birds (source published on 2015-02-24),830fd460-f762-11e1-a439-00145eb45e9a,06fcbbf0-0562-11d8-b851-b8a03c50a862,R. C. Faucett,rfaucett@uw.edu,Rob Faucett,2/24/2015,8/10/2016,2/18/2015,0,1,0,0,,specimen,0
