institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
CAS,California Academy of Sciences,ORN,97721,LCW831,Selasphorus sasin,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,sasin,,,,Allen's Hummingbird,female
CAS,California Academy of Sciences,ORN,97722,LCW824,Selasphorus sasin,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,sasin,,,,Allen's Hummingbird,female
CAS,California Academy of Sciences,ORN,97723,LCW889,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,,,Anna's Hummingbird,female
CAS,California Academy of Sciences,ORN,97734,CCO678,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,,,Anna's Hummingbird,female
CAS,California Academy of Sciences,ORN,98145,LCW1146,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,,,Rufous Hummingbird,undetermined
CAS,California Academy of Sciences,ORN,98151,LCW1158,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,,,Anna's Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S10071,DSW 4239,Anthracothorax prevostii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mangoes,Anthracothorax,,prevostii,,species,,Green-breasted Mango,female
CM,Carnegie Museum of Natural History,Birds,S10285,DSW 4566,Anthracothorax prevostii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mangoes,Anthracothorax,,prevostii,,species,,Green-breasted Mango,female
CM,Carnegie Museum of Natural History,Birds,S13775,,Colibri coruscans,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mangoes,Colibri,,coruscans,,species,,Sparkling Violetear,undetermined
CM,Carnegie Museum of Natural History,Birds,S9335,,Colibri delphinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mangoes,Colibri,,delphinae,,species,,Brown Violetear,male
CM,Carnegie Museum of Natural History,Birds,S10100,DSW 4284,Phaethornis superciliosus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,superciliosus,,species,,Long-tailed Hermit,female
CM,Carnegie Museum of Natural History,Birds,S10140,DSW 4337,Phaethornis superciliosus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,superciliosus,,species,,Long-tailed Hermit,female
CM,Carnegie Museum of Natural History,Birds,S8851,DSW 3246,Phaethornis longuemareus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,longuemareus,,species,,Little Hermit,female
CM,Carnegie Museum of Natural History,Birds,S10010,DSW 4159,Amazilia cyanocephala,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,cyanocephala,,species,,Azure-crowned hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S10069,DSW 4233,Amazilia tzacatl,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S10118,DSW 4311,Campylopterus curvipennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,curvipennis,,species,,Wedge-tailed sabrewing,male
CM,Carnegie Museum of Natural History,Birds,S10136,DSW 4333,Amazilia tzacatl,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S10137,DSW 4334,Campylopterus curvipennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,curvipennis,,species,,Wedge-tailed sabrewing,female
CM,Carnegie Museum of Natural History,Birds,S10138,DSW 4335,Campylopterus curvipennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,curvipennis,,species,,Wedge-tailed sabrewing,female
CM,Carnegie Museum of Natural History,Birds,S10139,DSW 4336,Campylopterus curvipennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,curvipennis,,species,,Wedge-tailed sabrewing,female
CM,Carnegie Museum of Natural History,Birds,S10148,DSW 4347,Amazilia tzacatl,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S10252,DSW 4508,Amazilia cyanocephala,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,cyanocephala,,species,,Azure-crowned hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S10268,DSW 4538,Amazilia cyanocephala,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,cyanocephala,,species,,Azure-crowned hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S10269,DSW 4539,Amazilia yucatanensis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,yucatanensis,,species,,Buff-bellied Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S10283,DSW 4564,Amazilia candida,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,candida,,species,,White-bellied Emerald,female
CM,Carnegie Museum of Natural History,Birds,S10284,DSW 4565,Amazilia candida,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,candida,,species,,White-bellied Emerald,male
CM,Carnegie Museum of Natural History,Birds,S9140,DSW 3939,Amazilia tzacatl,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S13280,,Boissonneaua matthewsii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Brilliants ,Boissonneaua,,matthewsii,,species,,Chestnut-breasted coronet,undetermined
CM,Carnegie Museum of Natural History,Birds,S11249,,Calypte costae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,costae,,species,,Costa's Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S12203,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S12206,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S13312,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S13525,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S13854,,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S14504,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S16279,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S16280,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S16493,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S16494,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CM,Carnegie Museum of Natural History,Birds,S6861,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S7560,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S8107,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,female
CM,Carnegie Museum of Natural History,Birds,S8208,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,71405,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,71439,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,71479,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,71909,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
CMNH,Cleveland Museum of Natural History,Birds,71932,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,72198,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72249,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72445,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72446,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72447,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72462,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,72800,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,73035,,Stellula calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Stellula,,calliope,,species,,Calliope Hummingbird,male
CMNH,Cleveland Museum of Natural History,Birds,73430,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,73461,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CMNH,Cleveland Museum of Natural History,Birds,74036,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,male
CRCM,Charles R. Conner Museum,Birds,93-681,,Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,calliope,,species,,Calliope Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,51255,IJL 04-001,Threnetes ruckeri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Threnetes,,ruckeri,,species,,Band-tailed Barbthroat,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,51896,IJL 04-073,Eutoxeres aquila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Eutoxeres,,aquila,,species,,White-tipped Sicklebill,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,51897,IJL 04-004,Threnetes ruckeri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Threnetes,,ruckeri,,species,,Band-tailed Barbthroat,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,50339,JTW 537,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,species,,Crowned Woodnymph,male
CUMV,Cornell University Museum of Vertebrates,Bird,50340,JTW 376,Lepidopyga coeruleogularis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Lepidopyga,,coeruleogularis,,species,,Sapphire-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,50341,JTW 377,Lepidopyga coeruleogularis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Lepidopyga,,coeruleogularis,,species,,Sapphire-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,51898,IJL 04-004,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,species,,Crowned Woodnymph,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,37143,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,44079,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,44123,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,44124,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,48258,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
