,Bird,77162,,Adelomyia melanogenys,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Adelomyia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,,melanogenys,,species,,Speckled Hummingbird,male,present,wing | tissue,
UWBM,Bird,77153,,Aglaiocercus kingi,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Aglaiocercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,,kingi,,species,,Long-tailed Sylph,male,present,wing | tissue,
UWBM,Bird,82442,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82488,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82751,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82888,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81143,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,male,present,skel/wing | tissue,
UWBM,Bird,82492,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82757,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82885,,Amazilia beryllina,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,beryllina,,species,,Berylline Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82871,,Amazilia candida,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,candida,,species,,White-bellied Emerald,female,present,round/wing | tissue,
CM,Birds,S10283,DSW 4564,Amazilia candida,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,candida,,species,,,female,present,skeleton | wing,
CM,Birds,S10284,DSW 4565,Amazilia candida,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,candida,,species,,,male,present,skeleton | wing,
UWBM,Bird,54385,,Amazilia chionogaster,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,chionogaster,,species,,White-bellied Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,71523,,Amazilia chionogaster,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,chionogaster,,species,,White-bellied Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,77144,,Amazilia chionogaster,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,chionogaster,,species,,White-bellied Hummingbird,female,present,wing | tissue,
CM,Birds,S10010,DSW 4159,Amazilia cyanocephala,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanocephala,,species,,,male,present,skeleton | wing,
CM,Birds,S10268,DSW 4538,Amazilia cyanocephala,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanocephala,,species,,,male,present,skeleton | wing,
CM,Birds,S10252,DSW 4508,Amazilia cyanocephala,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanocephala,,species,,,female,present,skeleton | wing,
UWBM,Bird,68955,,Amazilia cyanura,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanura,,species,,Blue-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69012,,Amazilia cyanura,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanura,,species,,Blue-tailed Hummingbird,male,present,skel/wing | tissue,
UWBM,Bird,69013,,Amazilia cyanura,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanura,,species,,Blue-tailed Hummingbird,male,present,skeleton | wing,
UWBM,Bird,68996,,Amazilia cyanura,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,cyanura,,species,,Blue-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69146,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81330,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81340,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81427,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,undetermined,present,skel/wing | tissue,
UWBM,Bird,81434,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,skel/wing | tissue,
UWBM,Bird,83946,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,84016,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,56002,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69032,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69038,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,skel/wing | tissue,
UWBM,Bird,69111,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81121,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81204,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,skel/wing | tissue,
UWBM,Bird,81300,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,69001,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,68991,,Amazilia rutila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,68962,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69024,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69027,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,female,present,wing | tissue,
UWBM,Bird,69136,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,68956,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,68961,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,69026,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,female,present,skel/wing | tissue,
UWBM,Bird,69093,,Amazilia saucerrottei,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,saucerrottei,,species,,Steely-vented Hummingbird,female,present,round/wing | tissue,
